"","Contig","moduleColor"
"420","Phel_clc_contig_697","royalblue"
"421","Phel_clc_contig_5167","turquoise"
"422","Phel_clc_contig_904","royalblue"
"423","Phel_clc_contig_6038","royalblue"
"424","Phel_clc_contig_1060","darkred"
"425","Phel_clc_contig_1261","royalblue"
"426","Phel_clc_contig_17964","royalblue"
"427","Phel_clc_contig_2191","royalblue"
"428","Phel_clc_contig_3462","red"
"429","Phel_clc_contig_2885","royalblue"
"430","Phel_clc_contig_4793","red"
"431","Phel_clc_contig_17045","magenta"
"432","Phel_clc_contig_7179","royalblue"
"433","Phel_clc_contig_3349","red"
"434","Phel_clc_contig_6497","magenta"
"435","Phel_clc_contig_6291","red"
"436","Phel_clc_contig_4397","royalblue"
"437","Phel_clc_contig_3656","royalblue"
"438","Phel_clc_contig_4330","royalblue"
"439","Phel_clc_contig_8929","royalblue"
"440","Phel_clc_contig_94","royalblue"
"441","Phel_clc_contig_7404","red"
"442","Phel_clc_contig_10279","lightcyan"
"443","Phel_clc_contig_74","darkred"
"444","Phel_clc_contig_8899","darkred"
"445","Phel_clc_contig_1085","royalblue"
"446","Phel_clc_contig_10262","royalblue"
"447","Phel_clc_contig_120","red"
"448","Phel_clc_contig_12352","royalblue"
"449","Phel_clc_contig_6577","royalblue"
"450","Phel_clc_contig_641","royalblue"
"451","Phel_clc_contig_6653","royalblue"
"452","Phel_clc_contig_12357","darkred"
"453","Phel_clc_contig_2258","darkred"
"454","Phel_clc_contig_12933","red"
"455","Phel_clc_contig_2176","purple"
"456","Phel_clc_contig_124","brown"
"457","Phel_clc_contig_2548","red"
"458","Phel_clc_contig_3494","turquoise"
"459","Phel_clc_contig_2029","cyan"
"460","Phel_clc_contig_18","brown"
"461","Phel_clc_contig_2365","lightcyan"
"462","Phel_clc_contig_329","blue"
"463","Phel_clc_contig_2982","tan"
"464","Phel_clc_contig_4215","purple"
"465","Phel_clc_contig_12907","royalblue"
"466","Phel_clc_contig_8470","royalblue"
"467","Phel_clc_contig_7362","royalblue"
"468","Phel_clc_contig_11036","red"
"469","Phel_clc_contig_1854","royalblue"
"470","Phel_clc_contig_10344","red"
"471","Phel_clc_contig_6668","red"
"472","Phel_clc_contig_5388","royalblue"
"473","Phel_clc_contig_26","royalblue"
"474","Phel_clc_contig_3957","royalblue"
"475","Phel_clc_contig_9208","royalblue"
"476","Phel_clc_contig_1687","red"
"477","Phel_clc_contig_818","red"
"478","Phel_clc_contig_7615","royalblue"
"479","Phel_clc_contig_6855","royalblue"
"480","Phel_clc_contig_10782","yellow"
"481","Phel_clc_contig_1695","red"
"482","Phel_clc_contig_11006","red"
